Country,Ns,ESBL and/or AmpC(a),,,ESBL(b),,,ESBL only CLA/CTX SYN (c),,,ESBL only CLA/CAZ SYN(d),,,AmpC(e),,,ESBL + AmpC(f),,,CP(g)
,,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI
Austria*,310,64,20.6,16.3 - 25.6,49,15.8,11.9 - 20.4,-,  -,  -,-,  -,  -,15,4.8,2.7 - 7.9,0,0,0.0 - 1.2,0,0,0.0 - 1.2
Belgium*,311,101,32.5,27.3 - 38.0,99,31.8,26.7 - 37.3,-,  -,  -,-,  -,  -,2,0.6,0.1 - 2.3,0,0,0.0 - 1.2,0,0,0.0 - 1.2
Bulgaria,152,70,46,38.0 - 54.3,55,36.2,28.6 - 44.4,5,3.3,1.1 - 7.5,0,0,0.0 - 2.4,14,9.2,5.1 - 15.0,1,0.7,0.0 - 3.6,0,0,0.0 - 2.4
Croatia,146,22,15.1,9.7 - 21.9,16,11,6.4 - 17.2,7,4.8,2.0 - 9.6,0,0,0.0 - 2.5,6,4.1,1.5 - 8.7,0,0,0.0 - 2.5,0,0,0.0 - 2.5
Cyprus,147,37,25.2,18.4 - 33.0,35,23.8,17.2 - 31.5,9,6.1,2.8 - 11.3,0,0,0.0 - 2.5,1,0.7,0.0 - 3.7,1,0.7,0.0 - 3.7,0,0,0.0 - 2.5
Czechia*,295,84,28.5,23.4 - 34.0,60,20.3,15.9 - 25.4,-,  -,  -,-,  -,  -,24,8.1,5.3 - 11.9,0,0,0.0 - 1.2,0,0,0.0 - 1.2
Denmark,301,19,6.6,4.1 - 10.1,9,3.2,1.4 - 5.6,4,1.4,0.4 - 3.4,0,0,0.0 - 1.2,5,1.8,0.5 - 3.8,5,1.8,0.5 - 3.8,0,0,0.0 - 1.2
Estonia,150,80,53.3,45.0 - 61.5,60,40,32.1 - 48.3,10,6.7,3.2 - 11.9,1,0.7,0.0 - 3.7,19,12.7,7.8 - 19.1,1,0.7,0.0 - 3.7,0,0,0.0 - 2.4
Finland*,290,1,0.3,0.0 - 1.9,1,0.3,0.0 - 1.9,-,  -,  -,-,  -,  -,0,0,0.0 - 1.3,0,0,0.0 - 1.3,0,0,0.0 - 1.3
France,255,45,17.7,13.2 - 22.9,40,15.7,11.5 - 20.7,5,2,0.6 - 4.5,0,0,0.0 - 1.4,5,2,0.6 - 4.5,0,0,0.0 - 1.4,0,0,0.0 - 1.4
Germany*,396,140,37.9,33.1 - 42.9,134,36.3,31.6 - 41.3,-,  -,  -,-,  -,  -,6,1.6,0.6 - 3.3,0,0,0.0 - 0.9,0,0,0.0 - 0.9
Greece,92,49,54.4,43.6 - 64.8,45,49.9,39.4 - 60.6,9,10,4.6 - 17.8,0,0,0.0 - 3.9,4,4.4,1.2 - 10.8,0,0,0.0 - 3.9,0,0,0.0 - 3.9
Hungary,335,197,58.8,53.3 - 64.1,159,47.5,42.0 - 53.0,75,22.4,18.0 - 27.2,13,3.9,2.1 - 6.5,34,10.2,7.1 - 13.9,4,1.2,0.3 - 3.0,0,0,0.0 - 1.1
Ireland,300,51,17,12.9 - 21.7,51,17,12.9 - 21.7,3,1,0.2 - 2.9,1,0.3,0.0 - 1.8,0,0,0.0 - 1.2,0,0,0.0 - 1.2,0,0,0.0 - 1.2
Italy*,301,93,30.9,25.7 - 36.5,59,19.6,15.3 - 24.5,-,  -,  -,-,  -,  -,34,11.3,8.0 - 15.4,0,0,0.0 - 1.2,0,0,0.0 - 1.2
Latvia,153,59,38.6,30.8 - 46.8,49,32,24.7 - 40.0,16,10.5,6.1 - 16.4,1,0.7,0.0 - 3.6,10,6.5,3.2 - 11.7,0,0,0.0 - 2.4,0,0,0.0 - 2.4
Lithuania,150,102,68,59.9 - 75.4,90,60,51.7 - 67.9,26,17.3,11.7 - 24.4,0,0,0.0 - 2.4,7,4.7,1.9 - 9.4,5,3.3,1.1 - 7.6,0,0,0.0 - 2.4
Luxembourg,115,29,25.2,17.6 - 34.2,28,24.4,16.8 - 33.2,0,0,0.0 - 3.2,3,2.6,0.5 - 7.4,1,0.9,0.0 - 4.8,0,0,0.0 - 3.2,0,0,0.0 - 3.2
Malta,155,32,20.6,14.6 - 27.9,22,14.2,9.1 - 20.7,7,4.5,1.8 - 9.1,2,1.3,0.2 - 4.6,7,4.5,1.8 - 9.1,3,1.9,0.4 - 5.6,0,0,0.0 - 2.4
Netherlands*,404,76,19.4,15.8 - 23.8,76,19.4,15.8 - 23.8,-,-,-,-,-,-,1,0.3,0.0 - 1.4,1,0.3,0.0 - 1.4,0,0,0.0 - 0.9
Poland,315,77,24.4,19.8 - 29.6,47,14.9,11.2 - 19.3,11,3.5,1.8 - 6.2,1,0.3,0.0 - 1.8,23,7.3,4.7 - 10.8,7,2.2,0.9 - 4.5,0,0,0.0 - 1.2
Portugal,269,135,50.6,44.4 - 56.7,100,37.5,31.7 - 43.6,8,3,1.3 - 5.8,1,0.4,0.0 - 2.0,23,8.6,5.5 - 12.6,12,4.5,2.3 - 7.7,0,0,0.0 - 1.4
Romania,303,137,45.2,39.5 - 51.0,89,29.4,24.3 - 34.9,17,5.6,3.3 - 8.8,0,0,0.0 - 1.2,41,13.5,9.9 - 17.9,7,2.3,0.9 - 4.7,0,0,0.0 - 1.2
Slovakia,150,71,47.3,39.1 - 55.6,44,29.3,22.2 - 37.3,27,18,12.2 - 25.1,0,0,0.0 - 2.4,27,18,12.2 - 25.1,0,0,0.0 - 2.4,0,0,0.0 - 2.4
Slovenia,153,40,26.1,19.4 - 33.9,22,14.4,9.2 - 21.0,4,2.6,0.7 - 6.6,2,1.3,0.2 - 4.6,18,11.8,7.1 - 18.0,0,0,0.0 - 2.4,0,0,0.0 - 2.4
Spain,300,149,51,45.2 - 56.8,112,38.3,32.8 - 44.1,6,2.1,0.7 - 4.3,1,0.3,0.0 - 1.8,25,8.6,5.7 - 12.4,12,4.1,2.1 - 6.9,0,0,0.0 - 1.2
Sweden*,300,11,3.7,1.8 - 6.5,7,2.3,0.9 - 4.8,-,  -,  -,-,  -,  -,4,1.3,0.4 - 3.4,0,0,0.0 - 1.2,0,0,0.0 - 1.2
United Kingdom (Northern Ireland)*,300,25,8.3,5.5 - 12.1,13,4.3,2.3 - 7.3,-,  -,  -,-,  -,  -,12,4,2.1 - 6.9,0,0,0.0 - 1.2,0,0,0.0 - 1.2
Total (28 MSs),6848,1996,29.4,28.4 - 30.5,1571,23.2,22.2- 24.2,249,6.4,5.6 - 7.2,26,0.7,0.4 - 1.0,368,5.4,4.9 - 6.0,59,0.9,0.7 - 1.1,0,0,0.0 - 0.1
Iceland,135,0,0,0.0 - 2.7,0,0,0.0 - 2.7,0,0,0.0 - 2.7,0,0,0.0 - 2.7,0,0,0.0 - 2.7,0,0,0.0 - 2.7,0,0,0.0 - 2.7
Norway*,319,1,0.3,0.0 - 1.7,0,0,0.0 - 1.2,-,  -,  -,-,  -,  -,1,0.3,0.0 - 1.7,0,0,0.0 - 1.2,0,0,0.0 - 1.2
Republic of North Macedonia,4,0,0,0.0 - 60.2,0,0,0.0 - 60.2,0,0,0.0 - 60.2,0,0,0.0 - 60.2,0,0,0.0 - 60.2,0,0,0.0 - 60.2,0,0,0.0 - 60.2
Switzerland,310,75,24.2,19.5 - 29.4,65,21,16.6 - 25.9,3,1,0.2 - 2.8,7,2.3,0.9 - 4.6,9,2.9,1.3 - 5.4,1,0.3,0.0 - 1.8,0,0,0.0 - 1.2
Total non-MS (4 non-MSs),768,76,9.9, 7.9 - 12.2 ,65,8.5,6.6 - 10.7,3,0.7,0.1 - 1.9,7,1.6,0.6 - 3.2,10,1.3,"0,6 - 2,4",1,0.1,0.0 - 0.7,0,0,0.0 - 0.5
Total (32 MSs and non-MSs),7616,2072,27.2,26.2 - 28.2,1636,21.5,20.6 - 22.4,252,5.8,5.1 - 6.5,33,0.8,0.5 - 1.1,378,5,4.5- 5.5,60,0.8,0.6 - 1.0,0,0,0.0 - 0.1

,,Countries with negative results 
,*,"Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
